country,temperature_celsius,wind_kph,pressure_mb,humidity,cloud,uv_index,hora_local,día_del_año,CondCategoria
Mexico,16.1,6.5,1024.0,51,25,0.0,3,63,Nublado
Mexico,12.4,3.6,1025.0,50,0,0.0,3,64,Despejado
Mexico,14.8,3.6,1017.0,58,0,0.0,3,65,Despejado
Mexico,15.1,7.9,1026.0,48,0,0.0,3,66,Despejado
Mexico,15.5,5.0,1017.0,40,0,0.0,3,67,Despejado
Mexico,14.3,3.6,1025.0,44,0,0.0,3,68,Despejado
Mexico,14.7,3.6,1017.0,54,0,0.0,3,69,Despejado
Mexico,15.2,3.6,1016.0,69,0,0.0,3,70,Despejado
Mexico,14.2,3.6,1026.0,51,0,0.0,3,71,Despejado
Mexico,14.0,3.6,1026.0,44,0,0.0,3,72,Despejado
Mexico,16.4,3.6,1015.0,38,0,0.0,3,73,Despejado
Mexico,14.5,7.2,1013.0,27,0,0.0,3,74,Despejado
Mexico,13.3,3.6,1022.0,35,0,0.0,3,75,Despejado
Mexico,10.1,8.6,1030.0,66,0,0.0,3,76,Despejado
Mexico,14.0,3.6,1021.0,62,0,0.0,3,77,Despejado
Mexico,16.2,3.6,1026.0,29,0,0.0,3,78,Despejado
Mexico,14.1,8.6,1027.0,67,50,0.0,3,79,Nublado
Mexico,9.3,3.6,1027.0,71,0,0.0,3,80,Despejado
Mexico,14.0,3.6,1027.0,63,100,0.0,3,81,Nublado
Mexico,13.2,3.6,1025.0,62,0,0.0,3,82,Despejado
Mexico,14.2,3.6,1024.0,55,0,0.0,3,83,Despejado
Mexico,15.0,4.7,1026.0,72,75,0.0,3,84,Nublado
Mexico,15.1,7.6,1027.0,77,75,0.0,3,85,Nublado
Mexico,15.3,6.5,1025.0,59,75,0.0,3,86,Nublado
Mexico,15.3,7.9,1023.0,44,0,0.0,3,87,Despejado
Mexico,15.2,5.8,1024.0,25,0,0.0,3,88,Despejado
Mexico,15.2,5.8,1023.0,29,25,0.0,3,89,Nublado
Mexico,15.4,3.6,1023.0,33,75,0.0,3,90,Nublado
Mexico,17.0,3.6,1024.0,29,0,0.0,3,91,Despejado
Mexico,18.2,6.8,1022.0,26,100,0.0,3,92,Nublado
Mexico,17.1,7.2,1022.0,29,0,0.0,3,93,Despejado
Mexico,17.3,9.7,1023.0,32,0,0.0,3,94,Despejado
Mexico,17.0,7.6,1024.0,27,0,0.0,3,95,Despejado
Mexico,18.1,4.7,1024.0,34,0,0.0,3,96,Despejado
Mexico,17.3,6.8,1021.0,34,0,0.0,3,97,Despejado
Mexico,8.1,3.6,1023.0,76,0,0.0,3,98,Despejado
Mexico,11.0,6.1,1028.0,62,0,0.0,3,99,Despejado
Mexico,15.3,7.9,1030.0,31,0,0.0,3,100,Despejado
Mexico,9.3,7.9,1030.0,27,0,0.0,3,101,Despejado
Mexico,10.3,10.1,1031.0,50,0,0.0,3,102,Despejado
Mexico,10.1,7.9,1028.0,54,0,0.0,3,103,Despejado
Mexico,10.3,5.8,1027.0,46,0,0.0,3,104,Despejado
Mexico,12.3,5.0,1027.0,50,50,0.0,3,105,Nublado
Mexico,12.2,7.2,1029.0,50,0,0.0,3,106,Despejado
Mexico,16.1,6.1,1017.0,64,11,0.0,2,107,Despejado
Mexico,17.3,4.7,1025.0,27,50,0.0,3,108,Nublado
Mexico,18.1,5.8,1024.0,32,0,0.0,3,109,Despejado
Mexico,20.1,5.0,1024.0,28,25,0.0,2,110,Despejado
Mexico,17.2,3.6,1025.0,68,50,0.0,3,111,Nublado
Mexico,15.3,7.9,1024.0,77,0,0.0,3,112,Despejado
Mexico,19.3,10.1,1023.0,49,75,0.0,3,113,Nublado
Mexico,20.2,10.1,1023.0,40,50,0.0,3,114,Nublado
